Scenario,Policy,Metric,mean_abs_delta,mean_abs_norm_delta,start_delta,end_delta
Base MR,Passive q,dK_0.5y,47.08741922729796,0.9829236090703934,47.90547179127196,24.999999999999996
Base MR,Passive q,dK_1y,83.7871079699311,0.9464976956606238,88.52330898856503,24.999999999999996
Base MR,Passive q,dK_3y,169.70738597220003,0.7635923756089611,222.24866485454163,24.999999999999996
Base MR,Passive q,MtM,336.61076650448206,0.522540829133984,644.18079456557,25.097521715759225
Base MR,Passive q,V,188.1916574637009,0.7471752903921839,251.87082587396654,24.999999999999996
Base MR,CAR-target,dK_0.5y,63.06852805971268,1.1531987697869053,54.690075737217185,26.91475965124488
Base MR,CAR-target,dK_1y,127.84020368615379,1.0987787616305402,116.34753796700925,26.91475965124488
Base MR,CAR-target,dK_3y,342.63003988052844,0.8233368424872293,416.1480723314555,26.91475965124488
Base MR,CAR-target,MtM,415.151007516266,0.644463496922847,644.18079456557,28.082383360886077
Base MR,CAR-target,V,290.0604385307874,1.1516238036870907,251.87082587396654,26.867655222470372
Base MR,MtM-band,dK_0.5y,37.211987006802254,0.8661531180639201,42.962365695779006,20.000000000000007
Base MR,MtM-band,dK_1y,52.5470679609467,0.7041013045778602,74.62998238932434,20.000000000000007
Base MR,MtM-band,dK_3y,89.3817125169161,0.6682326226396789,133.75837917615615,20.000000000000007
Base MR,MtM-band,MtM,284.4153282496698,0.4415147589761298,644.18079456557,20.07801737260738
Base MR,MtM-band,V,157.603797889506,0.6257326442736509,251.87082587396654,20.000000000000007
Base MR,0.5y-greedy,dK_0.5y,47.08741922729796,0.9829236090703934,47.90547179127196,24.999999999999996
Base MR,0.5y-greedy,dK_1y,83.78683987744616,0.9464948186151692,88.5232948237741,24.999999999999996
Base MR,0.5y-greedy,dK_3y,169.73976455668134,0.7638279303953812,222.2225160957625,24.999999999999996
Base MR,0.5y-greedy,MtM,336.61076650448206,0.522540829133984,644.18079456557,25.097521715759225
Base MR,0.5y-greedy,V,188.1916574637009,0.7471752903921839,251.87082587396654,24.999999999999996
Base MR,Optimal V,dK_0.5y,46.78812950024979,0.7846551640181055,59.62890661504572,24.999999999999996
Base MR,Optimal V,dK_1y,84.3612405879214,0.8293958298830769,101.71408819334584,24.999999999999996
Base MR,Optimal V,dK_3y,169.94765909789402,0.8164238223180088,208.16107327120125,24.999999999999996
Base MR,Optimal V,MtM,336.61076650448206,0.522540829133984,644.18079456557,25.097521715759225
Base MR,Optimal V,V,188.1916574637009,0.7471752903921839,251.87082587396654,24.999999999999996
Early sell-off,Passive q,dK_0.5y,47.086774988949614,0.9829101609542547,47.90547179127196,25.000000000000007
Early sell-off,Passive q,dK_1y,83.74326702167477,0.9460024481517216,88.52330898856503,25.000000000000007
Early sell-off,Passive q,dK_3y,164.3159326349555,0.7393337221733008,222.24866485454163,25.000000000000007
Early sell-off,Passive q,MtM,312.013114942369,0.48435643778046417,644.18079456557,24.914348336331784
Early sell-off,Passive q,V,204.0785353153796,0.8102507887018942,251.87082587396654,25.000000000000007
Early sell-off,CAR-target,dK_0.5y,64.84256261921998,1.1856367310731792,54.690075737217185,34.999999999999986
Early sell-off,CAR-target,dK_1y,116.60791771277945,1.002237948050461,116.34753796700925,34.999999999999986
Early sell-off,CAR-target,dK_3y,243.01966310705228,0.5839740209429356,416.1480723314555,34.999999999999986
Early sell-off,CAR-target,MtM,414.68944762185254,0.643746990162156,644.18079456557,34.8800876708645
Early sell-off,CAR-target,V,243.02729718909157,0.964888634266435,251.87082587396654,34.999999999999986
Early sell-off,MtM-band,dK_0.5y,13.139956010959835,0.30584805557508005,42.962365695779006,5.000000000000001
Early sell-off,MtM-band,dK_1y,17.400746985798087,0.23316027190014446,74.62998238932434,5.000000000000001
Early sell-off,MtM-band,dK_3y,32.20944227376628,0.24080317414243682,133.75837917615615,5.000000000000001
Early sell-off,MtM-band,MtM,146.560772359986,0.22751496722100367,644.18079456557,4.982869667266357
Early sell-off,MtM-band,V,109.49334038664126,0.43472021821785,251.87082587396654,5.000000000000001
Early sell-off,0.5y-greedy,dK_0.5y,46.95591576204011,0.9801785475911787,47.90547179127196,25.000000000000007
Early sell-off,0.5y-greedy,dK_1y,84.40243321608469,0.953448845121571,88.5232948237741,25.000000000000007
Early sell-off,0.5y-greedy,dK_3y,170.0647438186515,0.7652903351403175,222.2225160957625,25.000000000000007
Early sell-off,0.5y-greedy,MtM,312.013114942369,0.48435643778046417,644.18079456557,24.914348336331784
Early sell-off,0.5y-greedy,V,204.0785353153796,0.8102507887018942,251.87082587396654,25.000000000000007
Early sell-off,Optimal V,dK_0.5y,61.75366005180352,1.0356329431038174,59.62890661504572,34.999999999999986
Early sell-off,Optimal V,dK_1y,110.61908968003627,1.0875493419334596,101.71408819334584,34.999999999999986
Early sell-off,Optimal V,dK_3y,219.48071152276268,1.0543792269787766,208.16107327120125,34.999999999999986
Early sell-off,Optimal V,MtM,388.2654207876996,0.6027274083039712,644.18079456557,34.8800876708645
Early sell-off,Optimal V,V,235.6753718781865,0.9356993651821949,251.87082587396654,34.999999999999986
Rally,Passive q,dK_0.5y,47.84696823814101,0.9987787709640591,47.90547179127196,25.00000000000002
Rally,Passive q,dK_1y,88.09849788558772,0.9952011384591015,88.52330898856503,25.00000000000002
Rally,Passive q,dK_3y,191.58761017140029,0.862041669842159,222.24866485454163,25.00000000000002
Rally,Passive q,MtM,384.1517942392998,0.5963415821770468,644.18079456557,24.987588572650896
Rally,Passive q,V,137.18354143839613,0.54465832222681,251.87082587396654,25.00000000000002
Rally,CAR-target,dK_0.5y,21.31341837538531,0.3897127237086803,54.690075737217185,0.0
Rally,CAR-target,dK_1y,41.16134501401949,0.35377925251577375,116.34753796700925,0.0
Rally,CAR-target,dK_3y,92.92954179687702,0.22330883638663082,416.1480723314555,0.0
Rally,CAR-target,MtM,272.2128220331836,0.42257208586412626,644.18079456557,0.0
Rally,CAR-target,V,77.80450968554412,0.30890639841105044,251.87082587396654,0.0
Rally,MtM-band,dK_0.5y,16.985746977336305,0.39536340008866727,42.962365695779006,5.0
Rally,MtM-band,dK_1y,29.502186774010145,0.39531279292154803,74.62998238932434,5.0
Rally,MtM-band,dK_3y,50.675930494736384,0.37886172669599405,133.75837917615615,5.0
Rally,MtM-band,MtM,197.33603547923025,0.3063364154038645,644.18079456557,4.997517714530179
Rally,MtM-band,V,49.54921724408415,0.19672471820487006,251.87082587396654,5.0
Rally,0.5y-greedy,dK_0.5y,29.73767441070977,0.6207573644254799,47.90547179127196,6.25
Rally,0.5y-greedy,dK_1y,59.09274226172626,0.667538893342857,88.5232948237741,6.25
Rally,0.5y-greedy,dK_3y,148.95607113884168,0.6703014336974353,222.2225160957625,6.25
Rally,0.5y-greedy,MtM,292.8968100351025,0.45468106548042775,644.18079456557,6.246897143162724
Rally,0.5y-greedy,V,96.08250352317239,0.38147531850810973,251.87082587396654,6.25
Rally,Optimal V,dK_0.5y,16.79124316354445,0.28159569102860854,59.62890661504572,0.0
Rally,Optimal V,dK_1y,27.809693405598317,0.27341043801852966,101.71408819334584,0.0
Rally,Optimal V,dK_3y,39.489814699656186,0.18970797027072855,208.16107327120125,0.0
Rally,Optimal V,MtM,185.44798330586497,0.2878818879270209,644.18079456557,0.0
Rally,Optimal V,V,43.74289621522667,0.17367194498784458,251.87082587396654,0.0
Hump vol,Passive q,dK_0.5y,50.07067595246467,1.045197429024927,47.90547179127196,25.000000000000014
Hump vol,Passive q,dK_1y,99.96961048342867,1.1293026845205378,88.52330898856503,25.000000000000014
Hump vol,Passive q,dK_3y,252.8413466297109,1.137650688678785,222.24866485454163,25.000000000000014
Hump vol,Passive q,MtM,351.7809929470779,0.5460904701207608,644.18079456557,25.055007079988673
Hump vol,Passive q,V,202.25278494390045,0.8030020318633679,251.87082587396654,25.000000000000014
Hump vol,CAR-target,dK_0.5y,29.61278348239494,0.5414653953796333,54.690075737217185,0.0
Hump vol,CAR-target,dK_1y,60.36784949717673,0.5188579883340009,116.34753796700925,0.0
Hump vol,CAR-target,dK_3y,164.0343314670335,0.39417299363670316,416.1480723314555,0.0
Hump vol,CAR-target,MtM,310.2005833980381,0.4815427377142378,644.18079456557,0.0
Hump vol,CAR-target,V,137.605936269031,0.546335351827873,251.87082587396654,0.0
Hump vol,MtM-band,dK_0.5y,37.11494121297773,0.8638942621500788,42.962365695779006,9.751221628490338
Hump vol,MtM-band,dK_1y,51.8275422633282,0.6944600628867537,74.62998238932434,9.751221628490338
Hump vol,MtM-band,dK_3y,75.0605600396337,0.5611652929853495,133.75837917615615,9.751221628490338
Hump vol,MtM-band,MtM,235.31445586751255,0.3652925667028093,644.18079456557,9.77267707761456
Hump vol,MtM-band,V,102.89592969597003,0.4085265903223649,251.87082587396654,9.751221628490338
Hump vol,0.5y-greedy,dK_0.5y,49.986290018827724,1.043435919734201,47.90547179127196,20.284503115151693
Hump vol,0.5y-greedy,dK_1y,100.00313058209375,1.1296815237296778,88.5232948237741,20.284503115151693
Hump vol,0.5y-greedy,dK_3y,252.42481201830012,1.1359101519196253,222.2225160957625,20.284503115151693
Hump vol,0.5y-greedy,MtM,351.3346783046765,0.5453976294676919,644.18079456557,21.296756017990372
Hump vol,0.5y-greedy,V,202.30945585205885,0.8032270317535367,251.87082587396654,20.284503115151693
Hump vol,Optimal V,dK_0.5y,38.481357458818756,0.6453473599180234,59.62890661504572,12.5
Hump vol,Optimal V,dK_1y,63.61871638193906,0.625466122854163,101.71408819334584,12.5
Hump vol,Optimal V,dK_3y,108.41594926056611,0.520827201535979,208.16107327120125,12.5
Hump vol,Optimal V,MtM,264.0374976767399,0.4098810456694912,644.18079456557,12.527503539994337
Hump vol,Optimal V,V,118.96289839546739,0.4723171013660577,251.87082587396654,12.5
Whipsaw,Passive q,dK_0.5y,47.08741922729796,0.9829236090703934,47.90547179127196,25.000000000000004
Whipsaw,Passive q,dK_1y,84.52874092487977,0.9548755225112266,88.52330898856503,25.000000000000004
Whipsaw,Passive q,dK_3y,183.85096058420942,0.8272308888988659,222.24866485454163,25.000000000000004
Whipsaw,Passive q,MtM,342.7481345166625,0.5320682289943282,644.18079456557,25.014132651499168
Whipsaw,Passive q,V,186.91977959679093,0.7421255675332672,251.87082587396654,25.000000000000004
Whipsaw,CAR-target,dK_0.5y,60.11088268588578,1.0991186586523332,54.690075737217185,10.072240828598263
Whipsaw,CAR-target,dK_1y,128.9797359827551,1.108572972290369,116.34753796700925,10.072240828598263
Whipsaw,CAR-target,dK_3y,370.45615206690474,0.8902027347896524,416.1480723314555,10.072240828598263
Whipsaw,CAR-target,MtM,417.63246652839746,0.6483156127155956,644.18079456557,12.579347992526028
Whipsaw,CAR-target,V,310.32650378856516,1.2320859421164083,251.87082587396654,12.572240828598263
Whipsaw,MtM-band,dK_0.5y,50.94122023893576,1.1857172996397516,42.962365695779006,23.048520645557318
